slug,date,open,high,low,close,currency
USD/PGK,2021-08-09,3.459136,3.459136,3.442383,3.455725,PGK
GBP/THB,2021-08-09,46.316013,46.473454,46.282345,46.333553,THB
GBP/MYR,2021-08-09,5.853608,5.86647,5.850316,5.850743,MYR
USD/JPY,2021-08-09,110.261002,110.310997,110.028,110.259003,JPY
USD/CZK,2021-08-09,21.59,21.621,21.469999,21.590401,CZK
USD/CLP,2021-08-09,787.75,795.340027,782.880005,787.75,CLP
AUD/IDR,2021-08-09,10520.950195,10590.639648,10520.850586,10614.371094,IDR
AUD/PLN,2021-08-09,2.85453,2.86278,2.84926,2.85437,PLN
USD/BYN,2021-08-09,2.519987,2.519987,2.509357,2.517513,BYN
USD/PLN,2021-08-09,3.8914,3.8958,3.8743,3.8908,PLN
INR/MYR,2021-08-09,0.056684,0.056929,0.056677,0.056637,MYR
GBP/PKR,2021-08-09,227.279663,227.279663,227.06694,225.245636,PKR
CHF/AED,2021-08-09,4.010243,4.014988,3.994192,4.016459,AED
GBP/PAB,2021-08-09,1.363012,1.363012,1.358488,1.361253,PAB
GBP/XPF,2021-08-09,139.7845,140.04863,139.570633,139.776749,XPF
USD/GBP,2021-08-09,0.7211,0.7222,0.71976,0.72106,GBP
GBP/BBD,2021-08-09,2.752564,2.752564,2.743667,2.749013,BBD
EUR/BAM,2021-08-09,1.94583,1.94583,1.94583,1.94583,BAM
GBP/JOD,2021-08-09,0.979325,0.981202,0.979325,0.980445,JOD
USD/PKR,2021-08-09,163.559525,163.559525,162.980438,163.399612,PKR
GBP/HTG,2021-08-09,134.292801,136.776794,134.17659,134.286987,HTG
CHF/EUR,2021-08-09,0.929454,0.929627,0.925754,0.929403,EUR
EUR/ZAR,2021-08-09,17.191139,17.345921,17.14352,17.189329,ZAR
USD/SZL,2021-08-09,14.410746,14.440626,14.410746,14.396657,SZL
USD/SOS,2021-08-09,571.0,571.0,571.0,571.0,SOS
GBP/TND,2021-08-09,3.845832,3.851196,3.845832,3.840961,TND
AUD/EUR,2021-08-09,0.6242,0.62594,0.624,0.6243,EUR
GBP/HKD,2021-08-09,10.7865,10.81182,10.77269,10.7888,HKD
